Yo soy profesor.;I am a teacher.
Tú eres mi amigo.;You are my friend.
Él es doctor.;He is a doctor.
Ella es estudiante.;She is a student.
Es un día soleado.;It is a sunny day.
Vamos al parque.;We are going to the park.
Ustedes están todos invitados.;You are all invited.
Ellos están jugando fútbol.;They are playing soccer.
Me gusta leer.;I like to read.
Necesitas estudiar.;You need to study.
A él le encanta la música.;He loves music.
Ella quiere viajar.;She wants to travel.
Se ve hermoso.;It looks beautiful.
Disfrutamos aprender.;We enjoy learning.
Deberías probar esto.;You should try this.
Ellos tienen un gato.;They have a cat.
Puedo nadar.;I can swim.
Vas a tener éxito.;You will succeed.
Él toca la guitarra.;He plays the guitar.
Ella cocina la cena.;She cooks dinner.
Se siente frío afuera.;It feels cold outside.
Somos mejores amigos.;We are best friends.
Te ves feliz.;You look happy.
Ellos están viendo una película.;They are watching a movie.
Tengo un perro.;I have a dog.
Puedes llamarme.;You can call me.
Él es mi hermano.;He is my brother.
Ella es muy amable.;She is very kind.
Es una larga historia.;It is a long story.
Estamos aprendiendo español.;We are learning Spanish.
Siempre eres bienvenido.;You are always welcome.
Ellos son nuestros vecinos.;They are our neighbors.
Te ayudaré.;I will help you.
Tienes una bonita sonrisa.;You have a nice smile.
A él le gustan los deportes.;He enjoys sports.
A ella le gusta el chocolate.;She likes chocolate.
Es hora de irse.;It is time to go.
Estamos aquí para ti.;We are here for you.
Hiciste un gran trabajo.;You did a great job.
Ellos están jugando juegos.;They are playing games.
Estoy cansado.;I am tired.
Deberías descansar.;You should rest.
Él es muy alto.;He is very tall.
Ella tiene un vestido nuevo.;She has a new dress.
Está lloviendo hoy.;It is raining today.
Te visitaremos.;We will visit you.
Eres muy útil.;You are very helpful.
A ellos les gusta bailar.;They like to dance.
Quiero aprender más.;I want to learn more.
¡Puedes hacerlo!;You can do it!
Él lee todos los días.;He reads every day.
Ella es mi mejor amiga.;She is my best friend.
Es una gran oportunidad.;It is a great opportunity.
Estamos emocionados.;We are excited.
Tienes una gran idea.;You have a great idea.
Ellos están trabajando duro.;They are working hard.
Disfruto de la música.;I enjoy music.
Deberías ver esto.;You should see this.
Él tiene buen sentido del humor.;He has a good sense of humor.
Ella es muy talentosa.;She is very talented.
Es importante escuchar.;It is important to listen.
Estamos orgullosos de ti.;We are proud of you.
Tienes una voz hermosa.;You have a beautiful voice.
Ellos van a casa.;They are going home.
Necesito pensar.;I need to think.
Puedes confiar en mí.;You can trust me.
Él siempre llega a tiempo.;He is always on time.
Ella ayuda a su familia.;She helps her family.
Es una actividad divertida.;It is a fun activity.
Estamos planeando un viaje.;We are planning a trip.
Lo estás haciendo bien.;You are doing well.
Ellos disfrutan su trabajo.;They enjoy their work.
Me siento feliz hoy.;I feel happy today.
Eres un buen oyente.;You are a good listener.
Él está aprendiendo francés.;He is learning French.
Ella ama a los animales.;She loves animals.
Es un buen día.;It is a good day.
Vamos a la playa.;We are going to the beach.
Me inspiras.;You inspire me.
Ellos son muy amables.;They are very friendly.
Ella me ayuda.;She helps me.
Yo te veo.;I see you.
Él lo quiere.;He likes him.
Nosotros la llamamos.;We call her.
Ellos lo/la quieren.;They want it.
Ustedes nos entienden.;You understand us.
Yo los/las confío.;I trust you.
Ella los/las conoce.;She knows them.
¿Puedes ayudarme?;Can you help me?
El perro lo sigue.;The dog follows him.
Invitamos la a la fiesta.;We invited her to the party.
¿Viste lo/la?;Did you see it?
Ellos siempre nos visitan.;They always visit us.
Necesito hablar con ustedes.;I need to talk to you.
Ella está mirando los/las jugar.;She is watching them play.
Él no me cree.;He doesn't believe me.
El profesor te hizo una pregunta.;The teacher asked you a question.
No puedo encontrarlo en ningún lado.;I can't find him anywhere.
Mi madre la quiere mucho.;My mother loves her very much.
Por favor, damelo.;Please give it to me.
Ellos nos están esperando.;They are waiting for us.
Los/Las contactaremos pronto.;We will contact you soon.
La película los/las entretuvo.;The movie entertained them.
Ella a menudo me llama por la noche.;She often calls me at night.
A veces no te entiendo.;I don't understand you sometimes.
El gato lo persiguió a un árbol.;The cat chased him up a tree.
Él le escribió una carta a ella.;He wrote a letter to her.
¿Puedes arreglarlo/la para mí?;Can you fix it for me?
Ellos nos mostraron su nueva casa.;They showed us their new house.
Los/Las vi ayer en el parque.;I saw you at the park yesterday.
El ruido fuerte los/las asustó.;The loud noise scared them.
Ella siempre me anima.;She always encourages me.
Necesito tu ayuda contigo.;I need your help with you.
El viento lo llevó lejos.;The wind blew him away.
Él compró un regalo para ella.;He bought a gift for her.
No podemos abrirlo/la.;We can't open it.
El profesor nos elogió.;The teacher praised us.
Siempre los/las recordaré.;I will always remember you.
A ellos no los/las agrada mucho.;They don't like them very much.
Él me contó un secreto.;He told me a secret.
Ella te está esperando afuera.;She is waiting for you outside.
La abeja lo picó en el brazo.;The bee stung him on the arm.
A menudo pienso en ella.;I often think about her.
Finalmente lo/la encontraron.;They finally found it.
Ella nos presentó a sus amigos.;She introduced us to her friends.
Quiero darles/las gracias por todo.;I want to thank you for everything.
Los niños los/las molestaron.;The children annoyed them.
Él siempre me hace reír.;He always makes me laugh.
