Lista de algunas palabras inglesas con el sonido 'ái' del español: line, night, fly, lie, find, ...
dine -  cenar
fine -  bien, lindo, multa
line -  línea, cola
mine -  mina
nine -  nueve
pine -  pino
wine -  vino
brine -  salmuera
shine -  brillo, lustre
hide -  esconder
ride -  paseo
side -  lado
tide -  marea
wide -  ancho
bride -  novia
guide -  guía
pride -  orgullo
knife -  cuchillo
life -  vida
wife -  esposa
bike -  bici
dike -  dique
hike -  caminata
like -  gustar
mike -  micrófono
pike -  pica
bile -  bilis
file -  archivo, lima
mile -  milla
pile -  montón
tile -  azulejo
vile -  vil
dice -  dados
lice -  piojos
mice -  ratones
nice -  agradable, amable
rice -  arroz
vice -  vicio
price -  precio
slice -  tajada, rebanada, rodaja
spice -  especia
dime -  moneda de diez centavos
lime -  lima
time -  tiempo, vez, época
chime -  campanada
crime -  delito
prime -  primero, principal
pipe -  tubo, caño, pipa
ripe -  maduro
wipe -  limpiar
stripe -  raya
bite -  morder
kite -  cometa
rite -  rito
site -  sitio
trite -  trivial
write -  escribir
dive -  sumergirse, bucear
five -  cinco
hive -  colmena
alive -  vivo
drive -  conducir
fight -  pelea, pelear
light -  luz, liviano, claro
might -  poderío
night -  noche
right -  correcto, derecho, justo
sight - vista
tight -  apretado, ajustado, tacaño
alight -  encendido, iluminado
blight -  frustrar, arruinar
bright -  brillante, luminoso
flight -  vuelo
fright -  susto
height -  altura, altitud
knight -  caballero
plight -  situación difícil
slight -  ligero, leve
delight -  deleite, encanto, encantar
insight -  intuición, perspicacia
tonight -  esta noche
upright -  erguido, vertical
uptight -  tenso, nervioso
cry -  llorar, alarido, grito
fly -  volar, mosca
fry -  feír
spry -  ágil, activo
rely -  contar, confiar
sty -  chiquero, pocilga
sky -  cielo
spy -  espía, espiar
shy -  tímido
sly -  astuto
dry -  secar, seco
try -  probar, intentar, prueba
wry -  torcido, irónico
die -  morir
lie -  mentir
pie -  pastel
tie -  corbata, atar
vie -  competir, rivalizar
bind -  atar
blind -  ciego
grind -  moler
kind -  clase
mind -  mente
rind -  corteza
