Lista de algunas palabras inglesas con el sonido 'éar' del español: care, rare, fair, pear, ...
bare -  desnudo
blare -  resonar
care -  cuidado
dare -  atreverse
fare -  precio del pasaje
hare -  liebre
mare -  yegua
rare -  raro
aware -  consciente, enterado
flare -  llamarada, bengala
glare -  brillo
scare -  susto, asustar
share -  compartir, cuota, porción
spare -  de sobra, de repuesto
stare -  mirada fija
square -  plaza, cuadrado
air -  aire
fair -  bueno, justo, feria
hair -  pelo, cabellos
lair -  guarida
pair -  par
chair -  silla
flair -  aptitud, propensión
stair -  escalón, peldaño
impair -  perjudicar
repair -  reparar, arreglar
affair -  asunto
unfair -  injusto
bear -  oso
pear -  pera
swear -  jurar
wear -  vestir
