Lista de algunas palabras inglesas con el sonido 'iú' del español: cube, use, new, view, ...
cube -  cubo
cure -  curar, curación
cute -  lindo, listo
fume -  hechar humo
fuse -  fusible
huge -  enorme
June -  junio
lure -  atraer, señuelo
mule -  mula
muse -  musa
mute -  mudo
pure -  puro
abuse -  maltratar, denigrar, maltrato
amuse -  divertir, entretener
acuse -  acusar
tube -  tubo
tune -  melodía, canción
use -  usar, uso.
dew -  rocío
few -  pocos, pocas
mew -  maullido, maullar
new -  nuevo
pew -  banco
spew -  vomitar
stew -  estofado, guiso, guisar
view -  vista, visión, ver.
